id,employmentStatus,currentEmployer,positionTitle,grossAnnualIncome,unemploymentPeriod,receivesFinancialAssistance,assistanceExplanation,receivesSocialSecurity,numberOfPeopleInHousehold
45,1,Brightbean,Actuary,72785,NULL,0,NULL,1,10
46,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,10
47,1,Voolia,Clinical Specialist,49792,NULL,1,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros,0,10
48,1,Blogspan,Media Manager I,18319,NULL,0,NULL,0,1
49,0,NULL,NULL,NULL,Less than 6 months,0,NULL,1,7
50,1,Thoughtstorm,Help Desk Operator,70254,NULL,1,nullam orci pede venenatis non sodales sed tincidunt eu felis fusce,0,2
51,1,Riffpedia,Assistant Media Planner,90346,NULL,0,NULL,0,5
52,1,Blogtags,Research Associate,53698,NULL,1,mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer,0,6
53,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,6
54,0,NULL,NULL,NULL,More than 6 months,1,pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh,0,1
55,1,Wordify,Assistant Professor,97697,NULL,1,commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor,0,1
56,1,Devpulse,VP Marketing,88104,NULL,0,NULL,0,8
57,0,NULL,NULL,NULL,More than 1 year,1,et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti,1,1
58,0,NULL,NULL,NULL,Less than 6 months,0,NULL,0,7
59,0,NULL,NULL,NULL,Less than 6 months,0,NULL,0,1
60,1,InnoZ,Analog Circuit Design manager,23166,NULL,0,NULL,1,9
61,0,NULL,NULL,NULL,More than 6 months,1,at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae,0,10
62,0,NULL,NULL,NULL,Less than 6 months,1,elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor,0,6
63,1,Livetube,Geological Engineer,86503,NULL,1,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel,1,9
64,0,NULL,NULL,NULL,More than 6 months,1,faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo,1,6
65,1,Oloo,Budget/Accounting Analyst III,20567,NULL,0,NULL,0,6
66,1,Twiyo,Nurse,13739,NULL,1,consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl,0,4
67,1,Minyx,Software Consultant,42382,NULL,1,in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel,1,9
68,1,Meedoo,Quality Engineer,59874,NULL,1,amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien,0,1
69,0,NULL,NULL,NULL,More than 6 months,1,ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus,1,1
70,0,NULL,NULL,NULL,More than 6 months,0,NULL,0,10
71,1,Vidoo,Senior Financial Analyst,96778,NULL,0,NULL,0,9
72,0,NULL,NULL,NULL,More than 6 months,0,NULL,0,6
73,1,Skyndu,Information Systems Manager,94614,NULL,1,quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis,0,2
74,1,Podcat,Recruiter,67910,NULL,1,facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at,1,8
75,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,7
76,1,Brainbox,Civil Engineer,64189,NULL,0,NULL,0,9
77,1,Kayveo,Payment Adjustment Coordinator,85435,NULL,0,NULL,1,5
78,1,Browsebug,Senior Sales Associate,89257,NULL,1,platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque,1,1
79,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,8
80,1,Flipbug,Health Coach IV,74022,NULL,0,NULL,0,10
81,1,Avamm,Librarian,37086,NULL,1,cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui,0,4
82,1,Innojam,Software Test Engineer II,27161,NULL,0,NULL,1,7
83,1,Muxo,Geologist III,54451,NULL,0,NULL,0,10
84,0,NULL,NULL,NULL,Less than 6 months,0,NULL,1,1
85,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,10
86,0,NULL,NULL,NULL,Less than 6 months,0,NULL,1,5
87,1,Edgetag,Electrical Engineer,95601,NULL,1,odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus,1,3
88,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,8
89,1,Skinte,Tax Accountant,82050,NULL,0,NULL,1,7
90,0,NULL,NULL,NULL,Less than 6 months,0,NULL,0,2
91,1,Meedoo,Administrative Officer,59598,NULL,1,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis,0,10
92,0,NULL,NULL,NULL,Less than 6 months,1,quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in,1,10
93,1,Oloo,Programmer Analyst I,56285,NULL,1,convallis eget eleifend luctus ultricies eu nibh quisque id justo sit,1,2
94,1,Feednation,Senior Editor,57028,NULL,1,sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui,0,5
95,1,Yadel,Business Systems Development Analyst,06884,NULL,0,NULL,1,5
96,1,Innojam,Nurse Practicioner,07359,NULL,0,NULL,1,7
97,1,Bluezoom,Software Engineer I,02706,NULL,0,NULL,0,4
98,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,5
99,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,4
100,1,Zooveo,General Manager,76654,NULL,1,sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis,1,10
101,1,Wordpedia,Project Manager,52024,NULL,0,NULL,1,9
102,0,NULL,NULL,NULL,More than 1 year,1,donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies,1,9
103,0,NULL,NULL,NULL,More than 6 months,1,amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem,1,10
104,0,NULL,NULL,NULL,Less than 6 months,1,curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor,1,6
105,0,NULL,NULL,NULL,Less than 6 months,1,amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque,1,3
106,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,10
107,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,4
108,1,Divanoodle,Senior Financial Analyst,02121,NULL,0,NULL,0,7
109,1,Yodo,Administrative Officer,46265,NULL,1,nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa,1,3
110,0,NULL,NULL,NULL,More than 1 year,1,tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus,0,3
111,0,NULL,NULL,NULL,More than 6 months,1,erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero,1,5
112,0,NULL,NULL,NULL,More than 1 year,1,sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac,0,1
113,1,Fivebridge,Web Developer I,15340,NULL,0,NULL,0,4
114,1,Gabcube,Clinical Specialist,32330,NULL,1,convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque,1,10
115,1,Wikido,Professor,18642,NULL,1,vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit,1,6
116,0,NULL,NULL,NULL,Less than 6 months,0,NULL,0,2
117,1,Centizu,Assistant Professor,67734,NULL,0,NULL,1,7
118,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,10
119,0,NULL,NULL,NULL,More than 1 year,1,dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet,0,7
120,0,NULL,NULL,NULL,More than 6 months,1,auctor sed tristique in tempus sit amet sem fusce consequat nulla,0,3
121,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,7
122,1,Oyondu,Senior Editor,67579,NULL,0,NULL,1,1
123,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,4
124,0,NULL,NULL,NULL,Less than 6 months,1,mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit,1,9
125,0,NULL,NULL,NULL,More than 6 months,0,NULL,0,5
126,1,Meezzy,VP Product Management,93454,NULL,0,NULL,1,2
127,1,Ozu,Structural Engineer,87469,NULL,0,NULL,1,1
128,0,NULL,NULL,NULL,Less than 6 months,0,NULL,0,9
129,0,NULL,NULL,NULL,More than 6 months,1,justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque,1,7
130,1,Miboo,Assistant Media Planner,42999,NULL,1,in felis eu sapien cursus vestibulum proin eu mi nulla ac,0,6
131,1,Eadel,VP Quality Control,09021,NULL,1,aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo,1,5
132,0,NULL,NULL,NULL,More than 1 year,1,accumsan tellus nisi eu orci mauris lacinia sapien quis libero,0,5
133,1,Voonix,Project Manager,50762,NULL,0,NULL,1,4
134,1,Skimia,Clinical Specialist,33466,NULL,1,donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum,0,9
135,0,NULL,NULL,NULL,Less than 6 months,1,at turpis donec posuere metus vitae ipsum aliquam non mauris morbi,0,1
136,0,NULL,NULL,NULL,Less than 6 months,0,NULL,0,4
137,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,6
138,0,NULL,NULL,NULL,More than 6 months,1,lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst,1,1
139,1,Yotz,Systems Administrator IV,60491,NULL,0,NULL,0,10
140,1,Meembee,Research Associate,78361,NULL,1,eu felis fusce posuere felis sed lacus morbi sem mauris,0,4
141,0,NULL,NULL,NULL,Less than 6 months,0,NULL,0,8
142,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,4
143,0,NULL,NULL,NULL,More than 6 months,0,NULL,0,4
144,1,Dabjam,Senior Sales Associate,48300,NULL,0,NULL,1,7
145,0,NULL,NULL,NULL,More than 1 year,1,mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui,0,4
146,1,Bluejam,Marketing Manager,11931,NULL,0,NULL,0,9
147,0,NULL,NULL,NULL,More than 6 months,1,quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi,0,3
148,1,Topiczoom,Sales Representative,22052,NULL,0,NULL,0,10
149,1,Yoveo,Software Engineer I,37372,NULL,0,NULL,0,10
150,0,NULL,NULL,NULL,Less than 6 months,1,a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem,1,6
151,0,NULL,NULL,NULL,More than 6 months,1,magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,1,9
152,1,Avamm,Senior Quality Engineer,91239,NULL,0,NULL,1,9
153,1,Divape,Registered Nurse,63666,NULL,1,quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus,1,10
154,1,Zoomzone,Desktop Support Technician,60687,NULL,0,NULL,1,10
155,0,NULL,NULL,NULL,Less than 6 months,0,NULL,0,9
156,0,NULL,NULL,NULL,More than 6 months,0,NULL,0,2
157,1,Buzzbean,Office Assistant II,18491,NULL,1,tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci,1,2
158,1,Realbridge,Tax Accountant,43228,NULL,1,et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit,0,8
159,1,Fadeo,Nurse Practicioner,68937,NULL,0,NULL,0,10
160,1,Zoomzone,Dental Hygienist,58852,NULL,0,NULL,1,2
161,1,Edgeify,Senior Cost Accountant,66316,NULL,0,NULL,0,9
162,1,Twitterwire,Sales Representative,34579,NULL,1,aliquam convallis nunc proin at turpis a pede posuere nonummy,1,7
163,1,Gigabox,Analyst Programmer,84993,NULL,0,NULL,1,1
164,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,10
165,1,Trilia,Chemical Engineer,51306,NULL,1,eget semper rutrum nulla nunc purus phasellus in felis donec,1,1
166,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,7
167,1,Browsedrive,Business Systems Development Analyst,67638,NULL,1,nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio,0,1
168,1,Vitz,Analyst Programmer,48245,NULL,0,NULL,1,3
169,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,4
170,0,NULL,NULL,NULL,More than 6 months,0,NULL,0,1
171,1,Buzzdog,Assistant Media Planner,85951,NULL,0,NULL,0,1
172,0,NULL,NULL,NULL,More than 6 months,1,sed accumsan felis ut at dolor quis odio consequat varius integer ac leo,0,9
173,1,Skynoodle,Mechanical Systems Engineer,13878,NULL,1,luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh,1,1
174,1,Cogibox,Electrical Engineer,82593,NULL,0,NULL,1,2
175,1,Trudoo,Staff Accountant IV,90471,NULL,0,NULL,1,7
176,0,NULL,NULL,NULL,More than 1 year,1,nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet,0,7
177,1,Ntags,Director of Sales,34480,NULL,0,NULL,1,3
178,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,4
179,1,Dablist,Mechanical Systems Engineer,33828,NULL,1,risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit,0,7
180,1,Kwideo,Software Consultant,45618,NULL,0,NULL,1,2
181,1,Kanoodle,Paralegal,44306,NULL,1,nisi eu orci mauris lacinia sapien quis libero nullam sit amet,1,1
182,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,2
183,0,NULL,NULL,NULL,More than 1 year,1,sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis,1,7
184,1,Gigaclub,Research Associate,15210,NULL,0,NULL,0,2
185,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,6
186,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,10
187,0,NULL,NULL,NULL,More than 1 year,1,tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl,1,2
188,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,7
189,1,Browsedrive,Editor,82951,NULL,1,primis in faucibus orci luctus et ultrices posuere cubilia curae,0,1
190,1,Photofeed,Electrical Engineer,19488,NULL,0,NULL,0,4
191,1,Skiba,Accounting Assistant I,09838,NULL,0,NULL,0,8
192,0,NULL,NULL,NULL,Less than 6 months,1,id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus,1,9
193,1,Yodo,Media Manager I,80148,NULL,0,NULL,0,7
194,1,Browsetype,Business Systems Development Analyst,59992,NULL,0,NULL,0,8
195,0,NULL,NULL,NULL,More than 1 year,1,est phasellus sit amet erat nulla tempus vivamus in felis eu sapien,0,3
196,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,8
197,0,NULL,NULL,NULL,Less than 6 months,1,ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur,1,4
198,1,Tazz,GIS Technical Architect,73738,NULL,0,NULL,0,2
199,0,NULL,NULL,NULL,More than 6 months,1,cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis,1,7
200,1,Youfeed,Media Manager III,96522,NULL,1,in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo,1,9
201,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,2
202,0,NULL,NULL,NULL,Less than 6 months,0,NULL,0,9
203,0,NULL,NULL,NULL,Less than 6 months,0,NULL,0,3
204,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,3
205,0,NULL,NULL,NULL,More than 6 months,1,etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id,1,8
206,0,NULL,NULL,NULL,More than 1 year,1,nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst,0,7
207,0,NULL,NULL,NULL,More than 1 year,1,metus vitae ipsum aliquam non mauris morbi non lectus aliquam,1,6
208,1,Roombo,VP Quality Control,98134,NULL,0,NULL,1,9
209,0,NULL,NULL,NULL,Less than 6 months,1,sed magna at nunc commodo placerat praesent blandit nam nulla,1,2
210,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,1
211,1,Browsetype,Design Engineer,41586,NULL,0,NULL,0,1
212,1,Twitterwire,Research Assistant IV,27578,NULL,1,venenatis turpis enim blandit mi in porttitor pede justo eu massa donec,0,10
213,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,7
214,0,NULL,NULL,NULL,More than 6 months,1,parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient,0,1
215,0,NULL,NULL,NULL,More than 6 months,0,NULL,0,4
216,1,Edgewire,Sales Representative,80726,NULL,1,turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien,1,10
217,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,8
218,1,Kwideo,Graphic Designer,02765,NULL,1,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede,1,10
219,1,Gigazoom,Project Manager,03065,NULL,0,NULL,0,3
220,1,Edgetag,General Manager,59751,NULL,0,NULL,1,6
221,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,9
222,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,6
223,0,NULL,NULL,NULL,Less than 6 months,0,NULL,1,5
224,1,Eimbee,Civil Engineer,03790,NULL,0,NULL,0,9
225,1,Gabtype,Human Resources Manager,85786,NULL,1,eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam,0,4
226,1,Feednation,Systems Administrator I,82206,NULL,1,ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at,1,1
227,1,Viva,Compensation Analyst,58755,NULL,0,NULL,0,4
228,1,Meeveo,Tax Accountant,28438,NULL,1,nisi volutpat eleifend donec ut dolor morbi vel lectus in,1,1
229,1,Skajo,Legal Assistant,12883,NULL,0,NULL,0,7
230,1,Browsezoom,Registered Nurse,41614,NULL,1,augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id,1,7
231,1,Quaxo,Registered Nurse,90197,NULL,1,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non,0,2
232,1,Realbuzz,Project Manager,53355,NULL,1,tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non,0,10
233,0,NULL,NULL,NULL,Less than 6 months,0,NULL,0,8
234,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,10
235,1,Wikibox,Pharmacist,49009,NULL,1,elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam,1,1
236,1,Topicware,Internal Auditor,86611,NULL,1,lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis,1,1
237,1,Pixoboo,Accounting Assistant IV,70399,NULL,0,NULL,0,7
238,0,NULL,NULL,NULL,More than 1 year,1,porttitor pede justo eu massa donec dapibus duis at velit,0,8
239,1,Tagcat,Human Resources Manager,40710,NULL,1,sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus,0,7
240,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,9
241,0,NULL,NULL,NULL,More than 1 year,1,et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien,1,4
242,1,Vitz,Financial Advisor,03727,NULL,0,NULL,1,1
243,1,Jamia,Administrative Officer,15274,NULL,0,NULL,0,1
244,1,Shufflebeat,Environmental Tech,07757,NULL,1,dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris,0,3
245,0,NULL,NULL,NULL,More than 6 months,0,NULL,0,9
246,1,Cogidoo,VP Marketing,88414,NULL,0,NULL,1,1
247,1,Gigaclub,Junior Executive,87102,NULL,0,NULL,0,6
248,1,Browsecat,Project Manager,41164,NULL,0,NULL,0,6
249,0,NULL,NULL,NULL,More than 1 year,1,nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum,1,2
250,1,Bubblemix,Help Desk Technician,90025,NULL,0,NULL,0,4
251,0,NULL,NULL,NULL,Less than 6 months,0,NULL,0,5
252,1,Gabtype,Structural Analysis Engineer,75145,NULL,0,NULL,0,1
253,1,Thoughtbeat,Senior Sales Associate,20148,NULL,1,cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus,1,1
254,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,2
255,1,Voomm,Automation Specialist II,68278,NULL,1,vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient,0,4
256,1,Fliptune,Environmental Specialist,82344,NULL,0,NULL,0,3
257,1,Mudo,Associate Professor,84696,NULL,1,massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies,0,10
258,1,Katz,Paralegal,88180,NULL,1,pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst,0,9
259,0,NULL,NULL,NULL,More than 6 months,1,enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh,1,2
260,1,Yotz,Statistician III,37883,NULL,1,odio porttitor id consequat in consequat ut nulla sed accumsan felis,0,9
261,0,NULL,NULL,NULL,More than 1 year,1,sit amet eleifend pede libero quis orci nullam molestie nibh,0,10
262,0,NULL,NULL,NULL,More than 1 year,1,turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis,0,2
263,0,NULL,NULL,NULL,Less than 6 months,1,nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim,0,10
264,0,NULL,NULL,NULL,Less than 6 months,1,morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc,0,10
265,1,Photospace,Quality Engineer,54676,NULL,0,NULL,1,1
266,1,Cogibox,VP Quality Control,34124,NULL,0,NULL,0,3
