id,marriageStatus,numberOfChildren
191,Yes,6
192,No,4
193,Yes,7
194,Yes,6
195,Yes,5
196,Yes,1
197,Yes,4
198,Yes,6
199,Yes,3
200,No,2
201,Yes,0
202,No,0
203,Yes,3
204,Yes,7
205,Divorced,8
206,Yes,6
207,No,6
208,Yes,2
209,Divorced,6
210,Yes,4
211,No,7
212,Divorced,0
213,Yes,4
214,Divorced,5
215,Divorced,7
216,No,3
217,No,7
218,No,2
219,No,4
220,Yes,6
221,Yes,1
222,Divorced,4
223,No,2
224,Divorced,1
225,Divorced,2
226,Yes,1
227,No,5
228,Yes,7
229,Yes,1
230,Yes,0
231,No,8
232,No,2
233,Yes,5
234,Divorced,8
235,Divorced,7
236,Yes,6
237,No,1
238,Divorced,7
239,Divorced,4
240,No,8
241,No,6
242,No,8
243,No,3
244,Yes,3
245,Yes,5
246,No,7
247,Divorced,7
248,No,3
249,No,2
250,No,8
251,Divorced,2
252,Yes,1
253,Yes,1
254,Yes,0
255,Yes,1
256,No,7
257,Yes,2
258,No,4
259,Yes,7
260,Yes,1
261,Yes,3
262,Yes,1
263,Divorced,2
264,Yes,1
265,Yes,6
266,Yes,6
267,Yes,7
268,Divorced,5
269,No,7
270,No,3
271,Divorced,3
272,No,7
273,Yes,8
274,Yes,4
275,No,1
276,Yes,5
277,Divorced,3
278,No,4
279,No,4
280,Yes,3
281,Yes,7
282,Yes,7
283,No,4
284,No,6
285,Divorced,8
286,No,6
287,Yes,5
288,Yes,2
289,No,0
290,Yes,4
291,Yes,8
292,No,8
293,No,0
294,No,3
295,Yes,6
296,No,6
297,Yes,5
298,No,2
299,Divorced,6
300,Divorced,3
301,No,7
302,Divorced,3
303,Divorced,7
304,Divorced,3
305,Divorced,6
306,Yes,7
307,No,7
308,Yes,3
309,No,7
310,Divorced,5
311,No,0
312,Yes,3
313,Yes,8
314,Yes,6
315,No,5
316,No,2
317,Yes,4
318,Yes,4
319,No,1
320,No,3
321,Yes,6
322,Divorced,3
323,Yes,8
324,No,7
325,No,2
326,Yes,1
327,Yes,0
328,No,8
329,Yes,6
330,No,0
331,Yes,8
332,Divorced,8
333,Yes,5
334,Yes,0
335,No,0
336,Yes,2
337,Divorced,0
338,No,4
339,Yes,6
340,Yes,5
341,Divorced,0
342,Yes,8
343,Yes,7
344,Yes,5
345,Divorced,2
346,Yes,1
347,Divorced,0
348,Divorced,8
349,Yes,0
350,Yes,5
351,Yes,0
352,No,0
353,No,4
354,No,3
355,Divorced,3
356,Divorced,7
357,No,1
358,Yes,0
359,No,5
360,Divorced,4
361,Yes,8
362,No,5
363,Yes,6
364,Yes,0
365,Divorced,0
366,No,4
367,No,6
368,No,7
369,No,6
370,No,2
371,No,4
372,Yes,0
373,No,8
374,No,5
375,No,2
376,Divorced,4
377,Yes,2
378,Divorced,3
379,Yes,0
380,Yes,2
381,Yes,6
382,Divorced,0
383,Yes,1
384,No,2
385,Yes,5
386,Yes,6
387,Yes,1
388,Yes,6
389,No,1
390,Divorced,2
391,Divorced,4
392,Divorced,2
393,Yes,4
394,Yes,5
395,No,4
396,Yes,7
397,Divorced,7
398,Divorced,4
399,Yes,0
400,Divorced,2
401,No,3
402,No,1
403,No,2
404,No,7
405,No,2
406,Yes,0
407,No,1
408,Divorced,3
409,No,7
410,No,2
411,Yes,5
412,No,8
413,No,8
414,No,3
415,Divorced,1
416,Yes,8
417,Divorced,8
418,Yes,1
419,Yes,5
420,Yes,7
421,Yes,6
422,No,7
423,Yes,8
424,Yes,6
425,Yes,8
426,Yes,1
427,Yes,5
428,Yes,1
429,Yes,6
430,Yes,1
431,Divorced,4
432,Yes,5
433,No,2
434,No,4
435,Yes,6
436,No,0
437,Divorced,6
438,No,2
439,Yes,4
440,Yes,4
441,Yes,5
442,Yes,8
443,Yes,0
444,Divorced,8
445,No,5
446,Divorced,8
447,Divorced,1
448,Yes,1
449,Divorced,6
450,Divorced,8
451,Yes,7
452,Yes,2
453,Divorced,4
454,Yes,0
455,Divorced,0
456,No,1
457,Yes,3
458,Yes,1
459,No,2
460,Yes,2
461,Yes,0
462,Yes,5
463,Yes,2
464,Yes,2
465,Yes,1
466,No,4
467,Divorced,4
468,Yes,3
469,Yes,6
470,No,8
471,No,1
472,No,5
473,No,1
474,Divorced,3
475,Yes,5
476,Yes,5
477,No,8
478,Yes,0
479,Yes,0
480,Divorced,0
481,Yes,0
482,Yes,0
483,No,8
484,No,4
485,Yes,5
486,No,4
487,Divorced,4
488,Yes,4
489,Yes,7
490,Divorced,5
491,Yes,1
492,Yes,2
493,Yes,2
494,Yes,4
495,Yes,2
496,Yes,4
497,No,4
498,Yes,3
499,Yes,8
500,No,3
501,No,1
502,Divorced,4
503,Yes,1
504,Divorced,2
505,No,5
506,Yes,6
507,Yes,5
508,Divorced,5
509,Yes,2
510,Yes,8
511,Divorced,8
512,Divorced,1
513,Divorced,3
514,No,6
515,No,2
516,Yes,6
517,Yes,1
518,No,8
519,No,2
520,No,6
521,Divorced,2
522,Yes,2
523,Yes,7
524,Yes,2
525,No,7
526,Yes,1
527,Yes,0
528,Yes,4
529,Divorced,4
530,Divorced,2
531,Yes,8
532,Divorced,5
533,No,5
534,No,1
535,Divorced,6
536,Yes,4
537,Yes,5
538,Yes,3
539,Yes,6
540,No,6
541,No,6
542,No,1
543,Yes,5
544,Yes,4
545,No,8
546,Divorced,4
547,No,1
548,No,5
549,Yes,0
550,No,6
551,Yes,6
552,Yes,8
553,No,0
554,Yes,1
555,No,0
556,Yes,5
557,Yes,8
558,Divorced,4
559,Yes,1
560,Yes,2
561,Yes,6
562,Yes,0
563,Yes,0
564,Yes,7
565,Yes,1
566,Yes,6
567,Yes,0
568,Divorced,1
569,No,4
570,Yes,5
571,Divorced,8
572,Yes,7
573,Divorced,5
574,Yes,7
575,No,1
576,Divorced,2
577,Yes,3
578,Yes,4
579,Yes,7
580,Divorced,8
581,Yes,2
582,Yes,5
583,No,1
584,No,2
585,No,2
586,Yes,5
587,No,0
588,Divorced,1
589,Divorced,5
590,Divorced,3
591,Yes,0
592,Divorced,6
593,Yes,5
594,No,5
595,Yes,6
596,Divorced,8
597,Yes,6
598,No,6
599,Divorced,6
600,Divorced,7
601,No,2
602,No,2
603,Yes,3
604,No,3
605,Yes,7
606,Divorced,6
607,No,3
608,Yes,2
609,Yes,6
610,Yes,1
611,No,3
612,Divorced,0
613,No,0
614,Divorced,1
615,Yes,2
616,No,0
617,Yes,1
618,Yes,0
619,Divorced,4
620,Yes,3
621,Yes,4
622,No,8
623,Yes,3
624,Divorced,2
625,Divorced,7
626,No,1
627,Yes,6
628,Yes,5
629,No,6
630,Yes,4
631,No,5
632,Divorced,5
633,Yes,0
634,Yes,8
635,Yes,6
636,Yes,0
637,Divorced,6
638,Divorced,8
639,Yes,6
640,Yes,3
641,Divorced,7
642,No,8
643,Yes,8
644,Yes,8
645,Yes,8
646,Divorced,8
647,No,6
648,Yes,8
649,No,2
650,Divorced,3
651,Yes,3
652,Divorced,7
653,Divorced,2
654,Yes,4
655,Yes,1
656,No,4
657,No,7
658,No,8
659,Yes,6
660,No,1
661,Yes,5
662,Yes,0
663,Yes,6
664,Yes,4
665,No,1
666,Divorced,6
667,Yes,8
668,Yes,1
669,Divorced,7
670,Yes,1
671,No,3
672,Divorced,1
673,Divorced,8
674,Yes,4
675,Yes,1
676,Divorced,5
677,Yes,8
678,No,0
679,Yes,6
680,Divorced,1
681,Yes,7
682,No,7
683,Yes,6
684,Yes,4
685,Yes,8
686,No,2
687,No,2
688,Yes,4
689,No,5
690,No,0
691,Divorced,7
692,Divorced,2
693,No,6
694,Yes,0
695,No,0
696,Yes,8
697,Yes,3
698,No,0
699,Yes,8
700,No,1
701,No,0
702,No,0
703,Divorced,4
704,Yes,6
705,No,7
706,Yes,6
707,Yes,6
708,Divorced,4
709,No,2
710,No,6
711,No,6
712,Divorced,8
713,No,2
714,Yes,8
715,Yes,1
716,Yes,5
717,Yes,5
718,Yes,4
719,Divorced,3
720,Yes,0
721,Yes,0
722,Yes,5
723,Yes,3
724,Divorced,5
725,No,0
726,Yes,5
727,Divorced,2
728,No,0
729,No,3
730,No,6
731,Divorced,0
732,Divorced,0
733,Yes,6
734,Yes,7
735,Divorced,2
736,Yes,4
737,Yes,0
738,Divorced,3
739,Yes,1
740,Yes,6
741,No,7
742,Divorced,6
743,Yes,7
744,Yes,1
745,Yes,5
746,Yes,1
747,Yes,2
748,Yes,6
749,Divorced,2
750,Yes,1
751,Yes,7
752,Yes,5
753,Yes,2
754,Yes,0
755,Yes,5
756,Yes,5
757,Yes,4
758,No,3
759,No,3
760,Yes,3
761,Divorced,4
762,Yes,8
763,No,2
764,Yes,1
765,No,5
766,Yes,6
767,Yes,7
768,Yes,5
769,Yes,7
770,Divorced,5
771,Divorced,0
772,Yes,1
773,No,3
774,No,5
775,No,5
776,Yes,6
777,Yes,1
778,Divorced,4
779,No,0
780,Yes,4
781,Divorced,5
782,Yes,6
783,Divorced,3
784,Divorced,8
785,Yes,6
786,Yes,5
787,No,7
788,Divorced,2
789,Yes,3
790,Yes,3
791,Yes,6
792,Yes,6
793,Divorced,0
794,Yes,6
795,No,8
796,Yes,8
797,No,3
798,Yes,6
799,No,3
800,Yes,4
801,No,5
802,Divorced,4
803,Yes,1
804,No,6
805,Yes,3
806,No,0
807,Divorced,7
808,Yes,6
809,No,4
810,No,1
811,Divorced,8
812,Yes,8
813,Yes,7
814,Yes,0
815,Yes,6
816,Yes,8
817,No,4
818,Yes,1
819,No,2
820,No,0
821,Yes,6
822,Yes,2
823,No,8
824,No,2
825,No,4
826,Yes,6
827,Yes,0
828,Yes,2
829,Divorced,6
830,Divorced,3
831,Yes,8
832,Yes,3
833,Yes,2
834,Divorced,6
835,No,8
836,No,4
837,Divorced,0
838,No,6
839,No,1
840,Yes,0
841,Yes,6
842,Yes,2
843,No,5
844,No,8
845,Yes,7
846,No,2
847,Yes,4
848,Yes,3
849,Yes,7
850,No,0
851,Yes,0
852,Yes,5
853,No,6
854,Yes,8
855,Yes,2
856,Yes,7
857,Divorced,1
858,Divorced,1
859,Divorced,4
860,Yes,6
861,Divorced,0
862,Yes,2
863,No,0
864,Yes,3
865,Yes,6
866,No,2
867,No,3
868,Divorced,4
869,Yes,3
870,Yes,2
871,Yes,6
872,No,4
873,No,6
874,Yes,0
875,No,4
876,No,1
877,No,8
878,Divorced,5
879,Yes,2
880,No,0
881,Yes,8
882,No,7
883,Yes,3
884,No,8
885,Divorced,1
886,Divorced,0
887,Divorced,6
888,No,4
889,Divorced,0
890,Yes,8
891,No,6
892,Yes,6
893,Yes,1
894,Yes,2
895,Yes,0
896,Yes,8
897,Yes,7
898,Yes,2
899,No,6
900,Divorced,4
901,Divorced,1
902,No,5
903,No,0
904,Yes,7
905,Yes,1
906,Yes,5
907,No,6
908,Divorced,8
909,No,4
910,Yes,5
911,Divorced,6
912,Divorced,4
913,Yes,8
914,No,1
915,No,0
916,Yes,3
917,No,4
918,Yes,3
919,Yes,2
920,No,3
921,Divorced,5
922,No,7
923,No,8
924,Yes,0
925,Divorced,1
926,Yes,3
927,Yes,8
928,Yes,4
929,Yes,7
930,Yes,2
931,Divorced,0
932,Yes,8
933,Yes,0
934,No,8
935,Yes,2
936,Yes,0
937,Divorced,2
938,No,5
939,Yes,0
940,Yes,7
941,Divorced,7
942,Yes,0
943,Yes,0
944,No,5
945,Divorced,5
946,Divorced,3
947,Yes,3
948,Yes,5
949,Yes,4
950,Yes,7
951,No,6
952,Divorced,5
953,Yes,5
954,No,2
955,Yes,6
956,No,4
957,Yes,4
958,Divorced,8
959,No,4
960,No,8
961,Yes,6
962,Yes,6
963,Yes,1
964,Divorced,3
965,No,7
966,Divorced,0
967,No,1
968,No,3
969,No,4
970,Divorced,1
971,Divorced,5
972,Yes,7
973,Divorced,2
974,Divorced,2
975,Yes,5
976,Yes,3
977,Divorced,1
978,Yes,1
979,Divorced,2
980,No,8
981,Yes,3
982,Yes,2
983,Yes,7
984,Yes,0
985,Yes,6
986,Yes,7
987,No,5
988,Yes,6
989,Yes,7
990,Yes,7
991,Yes,5
992,Divorced,2
993,No,0
994,Yes,2
995,No,5
996,Yes,3
997,No,5
998,Yes,4
999,Yes,6
1000,Yes,1
